first_td_team,team_logo_espn,first_td_times,first_td_rush,first_td_pass,QB,RB,WR,TE,DEF,first_td_perc,season
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,15,9,5,3,6,3,2,1,0.7894736842105263,2023
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,15,5,10,0,7,6,2,0,0.75,2023
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,14,5,9,2,4,5,3,0,0.7368421052631579,2021
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,14,5,7,1,4,4,3,2,0.7,2021
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,14,3,10,0,5,7,1,1,0.6666666666666666,2023
PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,14,9,4,4,5,2,2,1,0.7,2022
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,13,6,6,1,5,5,2,0,0.7647058823529411,2022
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,13,7,5,1,6,3,2,1,0.6842105263157895,2022
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,13,6,7,0,5,5,3,0,0.65,2023
LA,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,13,2,11,0,3,7,3,0,0.6190476190476191,2021
ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,12,4,7,1,3,6,1,1,0.6666666666666666,2021
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,12,4,7,2,3,3,4,0,0.6666666666666666,2022
GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,12,5,7,0,3,7,2,0,0.631578947368421,2023
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,12,1,11,0,3,4,5,0,0.6,2022
LAC,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,12,4,7,0,6,4,1,1,0.6666666666666666,2022
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,12,4,8,2,3,5,2,0,0.6666666666666666,2022
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,12,4,8,0,3,7,2,0,0.6,2022
TB,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,12,5,7,0,7,3,2,0,0.631578947368421,2021
CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,11,4,7,1,5,5,0,0,0.5789473684210527,2022
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,11,6,4,0,5,3,2,1,0.6470588235294118,2021
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,11,1,9,0,1,6,3,1,0.6111111111111112,2023
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,11,6,4,0,6,3,2,0,0.6470588235294118,2022
LV,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,11,4,7,0,2,8,1,0,0.6470588235294118,2023
MIA,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,11,3,4,1,1,5,0,4,0.6470588235294118,2021
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,11,1,10,0,2,8,1,0,0.6470588235294118,2021
SEA,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,11,4,7,1,3,6,1,0,0.6470588235294118,2021
TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,11,3,6,0,6,2,2,1,0.6470588235294118,2022
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,10,7,3,1,6,2,1,0,0.7692307692307693,2024
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,10,1,8,1,3,2,4,0,0.5555555555555556,2022
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,10,3,7,2,3,4,1,0,0.5263157894736842,2023
CAR,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,10,5,5,3,3,3,1,0,0.5882352941176471,2021
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,10,5,5,1,7,1,1,0,0.5555555555555556,2023
