full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Davante Adams,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,7,0,7,0.5833333333333334,2020,GB
Dalvin Cook,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,6,6,0,0.75,2020,MIN
Jamaal Williams,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,6,6,0,0.5454545454545454,2022,DET
Aaron Jones,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,5,3,2,0.45454545454545453,2019,GB
Austin Ekeler,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,5,5,0,0.5,2021,LAC
Ezekiel Elliott,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,5,5,0,0.38461538461538464,2022,DAL
Jakobi Meyers,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,5,1,4,0.5555555555555556,2023,LV
Jonathan Taylor,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,5,5,0,0.45454545454545453,2020,IND
Travis Kelce,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,5,0,5,0.4166666666666667,2022,KC
A.J. Brown,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,4,0,4,0.36363636363636365,2020,TEN
Adam Thielen,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,4,0,4,0.4,2019,MIN
Alvin Kamara,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,4,3,1,0.4,2020,NO
Cam Newton,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,4,4,0,0.5,2020,NE
Christian McCaffrey,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,4,3,1,0.6666666666666666,2019,CAR
Christian McCaffrey,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,4,2,2,0.36363636363636365,2023,SF
Cordarrelle Patterson,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,4,2,2,0.5714285714285714,2021,ATL
DK Metcalf,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,4,0,4,0.36363636363636365,2021,SEA
Damien Harris,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,4,4,0,0.4444444444444444,2021,NE
David Montgomery,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,4,3,1,0.5,2020,CHI
Dawson Knox,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,4,0,4,0.2857142857142857,2020,BUF
Ezekiel Elliott,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,4,3,1,0.4444444444444444,2021,DAL
Jalen Hurts,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,4,4,0,0.2857142857142857,2022,PHI
Jayden Reed,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,4,2,2,0.5714285714285714,2023,GB
Jeffery Wilson,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,4,3,1,0.36363636363636365,2020,SF
Jerome Ford,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,4,2,2,0.5714285714285714,2023,CLE
Jonathan Taylor,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,4,3,1,0.4,2021,IND
Justin Jefferson,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,4,0,4,0.36363636363636365,2021,MIN
Justin Jefferson,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,4,0,4,0.3333333333333333,2022,MIN
Leonard Fournette,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,4,3,1,0.3333333333333333,2021,TB
Mark Ingram,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,4,4,0,0.4,2019,BAL
Melvin Gordon,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,4,3,1,0.5,2019,LAC
Nick Chubb,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,4,4,0,0.4,2020,CLE
Nick Chubb,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,4,4,0,0.3076923076923077,2022,CLE
Travis Etienne,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,4,3,1,0.4444444444444444,2023,JAX
Tyreek Hill,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,4,0,4,0.5714285714285714,2023,MIA
Adam Thielen,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,3,0,3,0.2727272727272727,2021,MIN
Alvin Kamara,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,3,1,2,0.5,2021,NO
